price,latitude,longitude,city,operation,surface,rooms,elevator,parking
850,28.413706,-16.545883,Barcelona,rent,40,1,1,0
380,37.14046,-1.8495167,Barcelona,rent,70,2,1,0
850,40.438046,-3.6374838,Barcelona,rent,50,1,1,0
1100,41.37288,2.1585915,Barcelona,rent,63,3,1,0
795,39.50505,-0.43956175,Barcelona,rent,70,3,0,0
360,37.14038,-1.8495,Barcelona,rent,60,1,1,0
1300,41.39406,2.175263,Barcelona,rent,56,1,1,0
2330,41.36763,2.13504,Barcelona,rent,76,3,1,0
975,40.34913,-3.53466,Barcelona,rent,79,2,1,0
2000,41.36763,2.13504,Barcelona,rent,59,2,1,0
1700,40.44506,-3.700157,Barcelona,rent,120,2,1,0
1050,40.37527,-3.62695,Barcelona,rent,90,2,1,0
920,40.50262,-3.38306,Barcelona,rent,63,1,1,0
1935,41.42518,2.20628,Barcelona,rent,73,3,1,0
2450,40.427303,-3.6861687,Barcelona,rent,90,1,1,0
850,38.993988,-0.1657688,Barcelona,rent,97,3,1,0
1590,41.44887,2.24207,Barcelona,rent,60,2,1,0
1390,41.409687,2.1711717,Barcelona,rent,69,3,1,0
1500,40.447327,-3.7099147,Barcelona,rent,120,2,1,0
1400,41.41075,2.1751344,Barcelona,rent,81,3,1,0
1840,41.45605,2.20825,Barcelona,rent,81,3,1,0
2000,41.40882,2.1374154,Barcelona,rent,68,2,1,0
675,37.99298,-1.1004212,Barcelona,rent,106,2,1,0
1620,41.27688,1.9728745,Barcelona,rent,131,3,0,0
2695,41.466225,2.0446198,Barcelona,rent,264,3,0,0
2400,40.44613,-3.6998477,Barcelona,rent,170,3,1,0
1345,41.427586,2.162881,Barcelona,rent,65,2,1,0
1390,41.407322,2.1743495,Barcelona,rent,55,2,1,0
1000,37.611237,-0.9938721,Barcelona,rent,174,4,1,0
1120,40.485687,-3.652047,Barcelona,rent,51,1,1,0
940,40.34951,-3.534441,Barcelona,rent,79,2,1,0
695,39.974716,-0.04172,Barcelona,rent,80,2,1,0
700,41.620365,-4.799471,Barcelona,rent,91,2,1,0
675,41.620365,-4.799471,Barcelona,rent,91,2,1,0
745,41.494633,2.0336719,Barcelona,rent,62,1,1,0
1100,40.42463,-3.6703618,Barcelona,rent,50,1,1,0
820,39.508938,-0.44263312,Barcelona,rent,96,3,1,0
950,40.231827,-3.7683575,Barcelona,rent,81,3,1,0
785,43.368103,-5.847137,Barcelona,rent,72,1,1,0
2600,40.421936,-3.690208,Barcelona,rent,34,1,1,0
2900,40.42215,-3.6899562,Barcelona,rent,60,1,1,0
5900,40.42334,-3.685865,Barcelona,rent,332,5,1,0
900,42.804493,-1.6926217,Barcelona,rent,83,2,1,0
1630,41.558903,2.0040689,Barcelona,rent,128,4,1,0
1840,41.404823,2.1550052,Barcelona,rent,177,3,1,0
830,39.46851,-0.42580694,Barcelona,rent,74,3,0,0
1495,41.4119,2.181898,Barcelona,rent,62,2,1,0
2900,40.422333,-3.689928,Barcelona,rent,60,1,1,1
3550,40.422207,-3.6898549,Barcelona,rent,100,2,1,0
1590,41.38249,2.1814287,Barcelona,rent,60,2,1,0
375,36.838894,-2.6202452,Barcelona,rent,70,1,1,0
2900,41.392014,2.0122561,Barcelona,rent,69,2,1,0
650,41.55608,2.001836,Barcelona,rent,33,1,1,0
1400,41.409306,2.1652555,Barcelona,rent,101,4,1,0
1550,41.405838,2.205807,Barcelona,rent,77,3,1,0
775,36.728024,-4.435757,Barcelona,rent,62,1,1,0
780,41.117897,1.252005,Barcelona,rent,64,3,1,0
675,37.605556,-0.9821853,Barcelona,rent,110,4,1,0
1495,40.485687,-3.652047,Barcelona,rent,60,2,1,0
4550,40.50592,-3.6066842,Barcelona,rent,220,4,1,0
2200,40.405525,-3.889524,Barcelona,rent,176,3,0,0
800,38.36459,-0.4944547,Barcelona,rent,91,3,1,0
625,38.082565,-0.95155984,Barcelona,rent,106,4,0,0
1740,41.43503,2.2383442,Barcelona,rent,80,3,1,0
1800,39.494175,-0.40218732,Barcelona,rent,89,2,1,0
2400,39.583344,2.6264136,Barcelona,rent,100,3,1,0
2000,41.40891,2.137561,Barcelona,rent,130,3,1,0
2200,41.38395,2.1258218,Barcelona,rent,107,4,1,0
2700,40.43419,-3.9986281,Barcelona,rent,350,4,0,0
700,42.342743,-7.8622475,Barcelona,rent,80,2,1,0
2000,40.452557,-3.7033265,Barcelona,rent,180,2,0,0
1450,40.414642,-3.6961176,Barcelona,rent,88,3,0,0
3850,41.401886,2.1353292,Barcelona,rent,263,5,1,0
2950,41.386383,2.1247725,Barcelona,rent,180,4,1,0
890,36.13537,-5.4593716,Barcelona,rent,100,2,1,0
950,36.1366,-5.448891,Barcelona,rent,120,2,1,0
1150,40.48107,-3.7307653,Barcelona,rent,71,2,1,0
2200,39.565773,-0.5321903,Barcelona,rent,300,4,0,0
2200,41.38697,2.1730206,Barcelona,rent,88,2,1,0
900,40.357285,-3.7783022,Barcelona,rent,54,2,0,0
665,41.620365,-4.799471,Barcelona,rent,90,2,1,0
1150,36.723312,-4.4367194,Barcelona,rent,90,3,1,0
1300,43.538483,-6.1171184,Barcelona,rent,150,4,0,0
4500,41.395363,2.1658814,Barcelona,rent,255,4,1,0
725,41.49507,2.0355322,Barcelona,rent,50,1,0,0
